,officialPosition,displayName,team,time_to_pass,%ofPositivePlays,ppg,OL_speed_mean,OL_acceleration_mean,%ofNegativePlays,nflId_y,expectedPctOfNegPlays
1,T,Donovan Smith,TB,2.301003344481605,0.9163879598662208,32.5,2.065317725752508,1.6493979933110368,0.08361204013377926,42377.0,0.07047461096165482
4,T,Tristan Wirfs,TB,2.3046357615894038,0.9536423841059603,32.5,2.201655629139073,1.6123509933774836,0.046357615894039736,52421.0,0.03907878402808033
8,T,Tyron Smith,DAL,2.5258215962441315,0.9530516431924883,32.142857142857146,2.0002347417840376,1.568169014084507,0.046948356807511735,37082.0,0.03933381157472465
14,T,Terence Steele,DAL,2.557213930348259,0.8855721393034826,32.142857142857146,2.3492537313432837,1.6371641791044775,0.11442786069651742,52938.0,0.09667793059173933
16,T,Jake Matthews,ATL,2.3674911660777385,0.9187279151943463,21.142857142857142,2.0736042402826858,1.551060070671378,0.0812720848056537,41232.0,0.07206819358210863
18,T,Kaleb McGary,ATL,2.3346938775510204,0.8938775510204082,21.142857142857142,2.2916326530612245,1.705877551020408,0.10612244897959183,47814.0,0.0908883982097092
33,T,Daryl Williams,BUF,2.7532467532467533,0.8961038961038961,32.714285714285715,2.1134199134199134,1.5620346320346319,0.1038961038961039,42445.0,0.08569724921447908
35,T,Dion Dawkins,BUF,2.7532467532467533,0.9177489177489178,32.714285714285715,2.0762337662337664,1.6305627705627708,0.08225108225108226,44875.0,0.07005847743283142
42,T,Chukwuma Okorafor,PIT,2.257309941520468,0.9005847953216375,18.857142857142858,2.1406432748538013,1.585438596491228,0.09941520467836257,46161.0,0.08383776255749543
45,T,Dan Moore,PIT,2.200892857142857,0.7901785714285714,18.857142857142858,2.4930803571428575,2.0244642857142856,0.20982142857142858,53557.0,0.16863418713638414
51,T,George Fant,NYJ,2.810344827586207,0.9094827586206896,16.285714285714285,2.0198706896551726,1.724396551724138,0.09051724137931035,43586.0,0.07639037414875298
54,T,Morgan Moses,NYJ,2.742616033755274,0.8649789029535865,16.285714285714285,2.24126582278481,1.6172573839662447,0.1350210970464135,41295.0,0.1153007855164048
57,T,Cameron Erving,CAR,2.5776699029126213,0.8689320388349515,20.625,2.082961165048544,1.681990291262136,0.13106796116504854,42362.0,0.10909198260880158
58,T,Taylor Moton,CAR,2.6619217081850532,0.8861209964412812,20.625,2.1098220640569396,1.7493594306049822,0.11387900355871886,44876.0,0.0966885436479436
65,T,Rashod Hill,MIN,2.4226190476190474,0.8273809523809523,23.285714285714285,2.1598809523809526,1.6084523809523812,0.17261904761904762,43640.0,0.14926519555000323
66,T,Brian O'Neill,MIN,2.4823529411764707,0.9372549019607843,23.285714285714285,2.251176470588235,1.6769019607843139,0.06274509803921569,46131.0,0.05279561882275391
68,T,Olisaemeka Udoh,MIN,2.4823529411764707,0.8784313725490196,23.285714285714285,1.9530196078431372,1.5290588235294118,0.12156862745098039,47976.0,0.10464493012535277
72,T,Riley Reiff,CIN,2.4556451612903225,0.8709677419354839,27.5,2.1263709677419356,1.6586693548387097,0.12903225806451613,38553.0,0.11003832299878184
76,T,Jonah Williams,CIN,2.4538152610441766,0.8795180722891567,27.5,2.100441767068273,1.7581124497991967,0.12048192771084337,47794.0,0.10309093377337677
83,T,Matt Nelson,DET,2.5238095238095237,0.7873015873015873,16.75,2.4703174603174602,1.7794920634920635,0.2126984126984127,48455.0,0.1735370783295618
85,T,Penei Sewell,DET,2.5238095238095237,0.8603174603174604,16.75,2.246190476190476,1.648063492063492,0.13968253968253969,53436.0,0.11649842113992945
89,T,Trent Williams,SF,2.5125,0.925,24.0,1.9625625,1.6149999999999998,0.075,35443.0,0.06319683416746548
92,T,Mike McGlinchey,SF,2.6030150753768844,0.8844221105527639,24.0,2.0873366834170852,1.6211055276381912,0.11557788944723618,46078.0,0.09774674023857373
98,T,Tytus Howard,HOU,2.493723849372385,0.8702928870292888,14.875,1.923723849372385,1.3058995815899581,0.1297071129707113,47806.0,0.11425245232844407
106,T,Cam Robinson,JAX,2.701195219123506,0.8685258964143426,17.571428571428573,1.9743426294820716,1.42199203187251,0.13147410358565736,44846.0,0.11505142913637799
107,T,Jawaan Taylor,JAX,2.701195219123506,0.8844621513944223,17.571428571428573,1.897609561752988,1.5321115537848606,0.11553784860557768,47818.0,0.1001003309797155
116,T,Eric Fisher,IND,2.769230769230769,0.8076923076923077,25.0,2.146490384615385,1.6010576923076922,0.19230769230769232,39947.0,0.16174630322183361
120,T,Duane Brown,SEA,2.744186046511628,0.8651162790697674,22.625,2.011162790697674,1.6775813953488372,0.13488372093023257,33107.0,0.11733731603992824
122,T,Brandon Shell,SEA,2.753086419753086,0.8888888888888888,22.625,2.1998148148148147,1.8245061728395062,0.1111111111111111,43447.0,0.09170155928414069
132,T,Taylor Lewan,TEN,2.414772727272727,0.9034090909090909,28.375,1.9469886363636364,1.7071590909090908,0.09659090909090909,41237.0,0.08315784948994709
143,T,D.J. Humphries,ARI,2.8202764976958523,0.8617511520737327,30.75,2.4132258064516128,1.8052073732718894,0.1382488479262673,42367.0,0.11078691430187772
153,T,Rashawn Slater,LAC,2.4866920152091256,0.9049429657794676,24.571428571428573,2.1992015209125473,1.7183650190114068,0.09505703422053231,53442.0,0.07928586071419762
154,T,Storm Norton,LAC,2.5147679324894514,0.8143459915611815,24.571428571428573,2.2843037974683544,1.7197890295358649,0.18565400843881857,45630.0,0.153498747473752
158,T,Charles Leno,WAS,2.7026022304832713,0.8996282527881041,19.5,2.198810408921933,1.5994052044609666,0.10037174721189591,41475.0,0.08475016653984893
177,T,Orlando Brown,KC,2.7068403908794787,0.8925081433224755,26.0,2.156416938110749,1.5904234527687295,0.10749185667752444,46152.0,0.09188095480788692
178,T,Lucas Niang,KC,2.770334928229665,0.8564593301435407,26.0,2.444641148325359,1.7589473684210526,0.14354066985645933,52504.0,0.11831306447437341
185,T,Isaiah Wynn,NE,2.3083700440528636,0.8810572687224669,25.75,2.171497797356828,1.709383259911894,0.11894273127753303,46092.0,0.09922274350012102
187,T,Justin Herron,NE,2.347058823529412,0.7941176470588236,25.75,2.126529411764706,1.6539411764705882,0.20588235294117646,52603.0,0.17439859266063584
192,T,Jesse Davis,MIA,2.5390334572490705,0.8178438661710037,17.25,2.2466171003717474,1.5630855018587362,0.1821561338289963,42924.0,0.15202261478100149
196,T,Liam Eichenberg,MIA,2.5419847328244276,0.7977099236641221,17.25,2.2236641221374045,1.5945419847328244,0.20229007633587787,53471.0,0.17463881004231258
197,T,Austin Jackson,MIA,2.539325842696629,0.8239700374531835,17.25,2.1331835205992506,1.4514606741573035,0.1760299625468165,52426.0,0.15120359680259565
203,T,Ryan Ramczyk,NO,2.7333333333333334,0.8722222222222222,25.142857142857142,2.082888888888889,1.6861111111111111,0.12777777777777777,44844.0,0.10878733295167806
206,T,Calvin Throckmorton,NO,2.823943661971831,0.8943661971830986,25.142857142857142,1.858732394366197,1.3269718309859155,0.1056338028169014,52666.0,0.09015546265764811
209,T,Billy Turner,GB,2.608294930875576,0.8663594470046083,24.0,2.3400921658986173,1.6549308755760368,0.1336405529953917,41296.0,0.11563864725646862
213,T,Royce Newman,GB,2.608294930875576,0.9124423963133641,24.0,2.170967741935484,1.3419815668202764,0.08755760368663594,53571.0,0.07592757991939117
216,T,Nate Solder,NYG,2.454901960784314,0.8431372549019608,19.5,2.596705882352941,1.7565098039215687,0.1568627450980392,37090.0,0.12624128542969146
227,T,Bobby Massie,DEN,2.697841726618705,0.8812949640287769,19.625,2.037841726618705,1.5712230215827339,0.11870503597122302,38642.0,0.1023308962926826
229,T,Garett Bolles,DEN,2.6988847583643123,0.9070631970260223,19.625,1.8628624535315985,1.5881412639405204,0.09293680297397769,44832.0,0.08045112985217176
235,T,Jason Peters,CHI,2.634020618556701,0.8917525773195876,15.375,1.9658247422680413,1.578814432989691,0.10824742268041238,29550.0,0.09325386265554529
244,T,Andrew Whitworth,LA,2.5071090047393363,0.9146919431279621,30.625,2.22,1.5602369668246445,0.08530805687203792,30869.0,0.07347504868197295
245,T,Rob Havenstein,LA,2.475206611570248,0.9008264462809917,30.625,2.296404958677686,1.6421900826446283,0.09917355371900827,42400.0,0.08359965729246098
254,T,Kolton Miller,LV,2.4823529411764707,0.9215686274509804,25.714285714285715,2.0679607843137258,1.716705882352941,0.0784313725490196,46084.0,0.06749525962679462
257,T,Alex Leatherwood,LV,2.4957264957264957,0.7649572649572649,25.714285714285715,1.9717948717948717,1.5851709401709402,0.23504273504273504,53446.0,0.2026594294220257
262,T,Alejandro Villanueva,BAL,2.936651583710407,0.8144796380090498,26.714285714285715,2.1244343891402715,1.78579185520362,0.18552036199095023,41222.0,0.15566858105396517
